step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
1350,train,2.168796034,0.0003964119708,0.4769191444,44236800,370.9435678,3.639367595,119254.7973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.153503981,0.0003957311427,0.4486667514,45875200,384.4711452,3.641365594,119320.2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.120926003,0.0003949919115,0.4599318802,47513600,397.9945512,3.643265959,119382.5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.117193635,0.0003941945023,0.4491807222,49152000,411.5264449,3.644966243,119438.2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,2.111240451,0.000393339158,0.4846333265,50790400,425.0608733,3.646536526,119489.7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.096083245,0.0003924261392,0.4643058777,52428800,438.5917497,3.648039438,119538.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.08088975,0.0003914557239,0.4523846805,54067200,452.1049886,3.649594766,119589.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.082418485,0.0003904282078,0.5077533126,55705600,465.6230209,3.65102223,119636.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.079909177,0.0003893439039,0.4486363232,57344000,479.1449358,3.652339551,119679.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.049610839,0.0003882031424,0.4172357321,58982400,492.6694818,3.653565051,119720.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
