modelo,n,media,desv,minimo,maximo,leaderboard,val_bpt
estilo_llama_ctx2048_24ep,3,51.31,2.52,48.56,53.52,79.28,1.5172
estilo_llama_24ep,3,48.47,1.94,46.24,49.78,67.18,1.5815
perceiver_ar,3,48.27,3.06,45.99,51.75,63.57,1.7046
deep_lstm,3,46.26,0.34,45.99,46.64,63.49,2.3592
lstm,3,41.61,4.0,37.0,44.14,82.83,2.0424
music_transformer,3,37.59,1.91,36.09,39.74,70.63,1.8276
