step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,bce,reg_l1,reg_l2,kl,flux,stop,bits_per_step,n_valid,val_nll,val_bpt,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_f1_best,val_frame_best_threshold,val_frame_precision_best,val_frame_recall_best,val_n_frames,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_bpt,test_frame_precision,test_frame_recall,test_frame_f1,test_frame_f1_best,test_frame_best_threshold,test_frame_precision_best,test_frame_recall_best,test_n_frames
800,train,0.1781932801,0.0002986425668,0.05714643374,13107200,85.35590506,9.372520852,153559.3816,0.07456009835,0.04488732666,0.0347905606,0.05127411708,-0.01373510808,0.01827091351,3.263869524,14932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,0.1781370318,0.0002981516826,0.08083757758,13926400,89.63132977,9.48329119,155374.2429,0.09019491076,0.0581882447,0.04422039166,0.06628970057,-0.01873281784,0.02564295568,4.129610062,15039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,0.1767377597,0.0002975857489,0.2061928511,14745600,93.9123497,9.58340413,157014.4933,0.08699633181,0.06302661449,0.04589623213,0.07092607766,-0.02234595455,0.03594720736,4.368313313,14080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,0.176369307,0.0002969450677,0.1889639348,15564800,98.19323325,9.674801089,158511.941,0.09154544026,0.06041324511,0.04447342828,0.0925058797,-0.02088125423,0.03118053451,4.388029575,15404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,0.1698107079,0.0002962299809,0.08301936835,16384000,102.4773092,9.75825778,159879.2955,0.08402185142,0.05058766156,0.03891129047,0.08066183329,-0.01597530395,0.02423440106,3.737511158,14672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,0.1717443839,0.00029544087,0.1729287505,17203200,106.7662914,9.834564697,161129.508,0.07835496217,0.05334468558,0.03908210248,0.05720566586,-0.01862367988,0.02132886462,3.81878829,15009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,0.1764207301,0.0002945781561,0.0956576243,18022400,111.053062,9.905174883,162286.3853,0.08247543871,0.05681540444,0.0424419716,0.08240355551,-0.01884172112,0.01725956798,3.917165756,14902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,0.1726218989,0.0002936422995,0.1341321021,18841600,115.3438332,9.970190586,163351.6026,0.07027463615,0.04623412713,0.03369720653,0.08307216316,-0.01594818756,0.03165282309,3.368660688,14307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,0.1703511572,0.0002926337996,0.1245527267,19660800,119.6274705,10.0311408,164350.2109,0.08043341339,0.04950585589,0.03900247067,0.06509660929,-0.01476122625,0.01176819112,3.496822834,16246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,0.170786382,0.0002915531945,0.3501755297,20480000,123.9129896,10.08772368,165277.2648,0.08885584027,0.05203149095,0.04278692976,0.06297019124,-0.01373324916,0.01947276667,3.620773554,15307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,0.1775577128,0.0002904010608,0.3344092369,21299200,128.1976762,10.14058943,166143.4172,0.07453195751,0.05495766923,0.03843905032,0.07821631432,-0.02095431462,0.02090425231,3.935023069,14610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,0.1710324481,0.0002891780132,0.2098632008,22118400,132.5335433,10.18610056,166889.0716,0.09253020585,0.05897199363,0.04661815986,0.07622528821,-0.01716787368,0.01511406526,4.01884985,15924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,0.1685929137,0.0002878847044,0.1485783607,22937600,136.8685582,10.22879191,167588.5266,0.07551169395,0.04803792387,0.03787759691,0.07583551109,-0.01438823901,0.008957596496,3.316368341,15668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
