step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
1350,train,2.222942891,0.0003936240485,0.4743686914,44236800,307.2666242,4.39357839,143968.7767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.197625165,0.0003927498347,0.4000149369,45875200,318.446903,4.396337307,144059.1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.179101639,0.0003918205984,0.4007456005,47513600,329.6199577,4.399005479,144146.6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.164893861,0.0003908366106,0.3874556422,49152000,340.7923424,4.40150735,144228.5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,2.151788888,0.000389798158,0.3912853897,50790400,351.9798219,4.403661527,144299.1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.141076689,0.0003887055433,0.4114764333,52428800,363.1499631,4.405893329,144372.3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.136750064,0.0003875590852,0.3532584012,54067200,374.3205831,4.407986294,144440.8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.136119242,0.0003863591177,0.3522553444,55705600,385.4991736,4.409866781,144502.5147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.113885636,0.0003851059907,0.5617160201,57344000,396.6623671,4.411812527,144566.2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.095577776,0.0003838000694,0.3832488358,58982400,407.8345599,4.41355436,144623.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.093289926,0.0003824417347,0.3474026322,60620800,418.9992869,4.415281978,144679.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.089857898,0.0003810313824,0.3666692376,62259200,430.1913702,4.416639039,144724.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,train,2.090175877,0.0003795694236,0.375097096,63897600,441.3799944,4.417961903,144767.7756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,train,2.084775798,0.0003780562846,0.3757772446,65536000,452.5740867,4.419165964,144807.2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,eval,2.084775798,0.0003780562846,,65536000,452.5792646,,,1.99193149,7.329677299,1.995366814,0.4349748977,361322,520380,1.99193149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,train,2.083095248,0.0003764924065,0.3616894186,67174400,465.5869999,4.4030439,144278.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,train,2.06347362,0.000374878245,0.3667796552,68812800,477.0309215,4.402230349,144252.2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,train,2.065196924,0.0003732142709,0.3586066663,70451200,488.1888223,4.404033648,144311.3746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,train,2.048465347,0.0003715009691,0.35179919,72089600,499.3629239,4.405613422,144363.1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,train,2.0292786,0.000369738839,0.3650542498,73728000,510.5871983,4.406690978,144398.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,train,2.031391022,0.0003679283945,0.3545101881,75366400,521.9819403,4.406282713,144385.0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,train,2.04439455,0.0003660701631,0.3405915499,77004800,533.5368357,4.404569362,144328.9289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,train,2.036197329,0.0003641646867,0.3271707594,78643200,545.0474639,4.403286244,144286.8836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,train,2.017752388,0.0003622125206,0.32866171,80281600,556.6991606,4.400940712,144210.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,train,1.998781607,0.000360214234,0.3459083736,81920000,568.4138241,4.39820408,144120.3513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,train,2.029094672,0.0003581704094,0.3102407157,83558400,579.9348865,4.397045357,144082.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,train,2.006167955,0.0003560816426,0.3695786297,85196800,591.4311671,4.396115972,144051.9282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,train,2.028474431,0.0003539485424,0.3998233974,86835200,602.7824652,4.396279177,144057.2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,train,2.007588406,0.0003517717307,0.3626927435,88473600,614.1258185,4.396493225,144064.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,train,1.991969435,0.0003495518421,0.3312520981,90112000,625.4838943,4.396596019,144067.6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,train,1.999017947,0.0003472895236,0.3333610892,91750400,636.8251562,4.396811233,144074.7105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,train,1.996418769,0.0003449854349,0.3513976038,93388800,648.2117856,4.396711173,144071.4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,train,2.00271214,0.0003426402474,0.360656023,95027200,659.8641491,4.394844005,144010.2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,train,1.972451406,0.0003402546449,0.3232723475,96665600,671.2226775,4.39496474,144014.2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,train,1.972772303,0.0003378293228,0.3987840712,98304000,682.4102542,4.396182474,144054.1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,eval,1.972772303,0.0003378293228,,98304000,682.4156287,,,1.889595772,6.616693486,1.892854606,0.4610264529,361322,520380,1.889595772,33.50876361,0.6167603054,0.8916871716,0.609297604,1.121469538,True,0.7476992196,0.878116758,0.9021400329,0.7774712036,0.7494306552,0.7723415186,0.5755978444,0.8235579691,-0.2656159491,0.6119540076,0.7068037557,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,33.50876361,0.50546875,0.45072,2.167665285,1.973114757,0.72578125,0.762275,10.109375,9.0144,0.4330863808,0.2377351828,30.625,41.196,16,0,0.001144795739,38.47144938,,,,,,
3050,train,1.993865991,0.0003353649881,0.3129319549,99942400,735.2150664,4.148445998,135936.2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,train,1.969977083,0.0003328623592,0.3228469789,101580800,746.3841722,4.153357099,136097.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,train,1.950599542,0.0003303221657,0.3035637736,103219200,757.5442302,4.158173047,136255.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,train,1.961093292,0.0003277451479,0.3257678747,104857600,768.696687,4.162890324,136409.5901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,train,1.954875968,0.0003251320572,0.3281185329,106496000,779.8568852,4.167431309,136558.3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,train,1.966080873,0.0003224836553,0.3506678045,108134400,791.1401935,4.171194976,136681.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,train,1.967618968,0.0003198007142,0.324287653,109772800,802.4464512,4.174733398,136797.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,train,1.963753176,0.000317084016,0.398886025,111411200,813.7269194,4.178305914,136914.7282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
