modelo,semilla,gen_score,densidad,repeat8,seg
lstm,1,81.28790724160687,0.5625,0.1675598991172762,113.9
lstm,2,75.55011440350442,0.5603125,0.16495901639344263,216.9
lstm,3,79.88757668415272,0.551171875,0.1533732660781841,113.5
estilo_llama_ctx2048_24ep,1,50.569275616536835,0.56859375,0.32511034047919296,732.6
estilo_llama_ctx2048_24ep,2,46.48303035041813,0.668203125,0.2581967213114754,4273.8
estilo_llama_ctx2048_24ep,3,50.76042292618289,0.5431250000000001,0.37161097099621687,2522.8
estilo_llama_24ep,1,78.86492307377029,0.495859375,0.2925598991172762,96.6
estilo_llama_24ep,2,57.313404424671944,0.62828125,0.2487389659520807,139.5
estilo_llama_24ep,3,86.9411784631901,0.469765625,0.2932692307692308,71.8
music_transformer,1,38.21138644173704,0.6471875,0.3566361916771753,1317.0
music_transformer,2,78.41871743804946,0.5121875,0.2593001261034048,991.2
music_transformer,3,76.26425820461121,0.508828125,0.26686633039092056,756.4
perceiver_ar,1,47.94512315372502,0.697265625,0.28310214375788145,125.9
perceiver_ar,2,50.805533621067475,0.70453125,0.20767654476670871,159.4
perceiver_ar,3,53.12309011916781,0.47835937500000003,0.3326765447667087,64.9
deep_lstm,1,60.30244912618906,0.592421875,0.09962168978562422,155.7
deep_lstm,2,64.56279034752251,0.5434375,0.19112547288776796,144.4
deep_lstm,3,62.90625905214619,0.5354687499999999,0.20491803278688525,171.3
