step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
2500,eval,2.273149734,0.0009995614767,,61440000,395.0061913,,,2.231757842,9.316228153,2.235606776,0.3628065825,361322,520380,2.231757842
2550,train,2.286676526,0.0009995352904,0.2989267111,62668800,404.5509238,6.303285569,154909.5461,,,,,,,
2600,train,2.271597209,0.0009995083451,0.3606776297,63897600,411.8744996,6.312602511,155138.5193,,,,,,,
2650,train,2.275041332,0.0009994806409,0.2800359428,65126400,419.0535283,6.323774461,155413.0811,,,,,,,
2700,train,2.271227689,0.0009994521778,0.2871318161,66355200,426.1808333,6.335338872,155697.2881,,,,,,,
2750,train,2.257493691,0.0009994229558,0.2668963373,67584000,433.4108002,6.345019549,155935.2004,,,,,,,
2800,train,2.250740476,0.000999392975,0.2951063812,68812800,440.7163622,6.353292593,156138.5188,,,,,,,
2850,train,2.253306279,0.0009993622355,0.280169785,70041600,448.0524976,6.360861763,156324.5387,,,,,,,
2900,train,2.253646379,0.0009993307372,0.2860449553,71270400,455.508539,6.366510728,156463.3677,,,,,,,
2950,train,2.217744513,0.0009992984804,0.3251057565,72499200,462.8691397,6.373291601,156630.0144,,,,,,,
3000,train,2.234986377,0.0009992654648,0.334256947,73728000,470.6152194,6.374634471,156663.0168,,,,,,,
3050,train,2.255919576,0.0009992316908,0.2459539175,74956800,478.6470389,6.372127584,156601.4075,,,,,,,
3100,train,2.216299267,0.0009991971582,0.2832814455,76185600,486.9047511,6.366748308,156469.2064,,,,,,,
3150,train,2.219867373,0.0009991618672,0.2387038916,77414400,495.2021089,6.361039147,156328.8981,,,,,,,
3200,train,2.225738039,0.0009991258177,0.2855764925,78643200,502.8436694,6.363806874,156396.9177,,,,,,,
3250,train,2.208186479,0.00099908901,0.2551516294,79872000,510.5278981,6.365959651,156449.8244,,,,,,,
3300,train,2.212266898,0.0009990514439,0.2992446125,81100800,518.0968719,6.369465209,156535.977,,,,,,,
3350,train,2.215168891,0.0009990131197,0.3026204705,82329600,525.5804691,6.373905038,156645.0902,,,,,,,
3400,train,2.214727998,0.0009989740372,0.2412557155,83558400,533.9812555,6.367264702,156481.8973,,,,,,,
3450,train,2.199066787,0.0009989341967,0.2473747134,84787200,541.9944439,6.365378905,156435.552,,,,,,,
3500,train,2.214067602,0.0009988935981,0.2658280432,86016000,549.7379174,6.36667017,156467.2861,,,,,,,
3550,train,2.210113614,0.0009988522415,0.2546216249,87244800,557.6150868,6.366398765,156460.6161,,,,,,,
3600,train,2.200300665,0.000998810127,0.2183006704,88473600,565.1193433,6.370335829,156557.3733,,,,,,,
3650,train,2.176824288,0.0009987672546,0.2688878775,89702400,572.6267853,6.374134242,156650.7231,,,,,,,
3700,train,2.191540971,0.0009987236245,0.2441265881,90931200,580.1998456,6.377113038,156723.93,,,,,,,
3750,train,2.190331726,0.0009986792366,0.2572953105,92160000,587.8645313,6.379020676,156770.8121,,,,,,,
3800,train,2.201485772,0.0009986340911,0.2490560859,93388800,596.2558262,6.373103344,156625.3878,,,,,,,
3850,train,2.178606806,0.0009985881881,0.2357913405,94617600,604.335649,6.37063196,156564.651,,,,,,,
3900,train,2.184313774,0.0009985415275,0.2129276693,95846400,612.3113475,6.369308712,156532.1309,,,,,,,
3950,train,2.162333665,0.0009984941094,0.2360634804,97075200,620.1385736,6.369544111,156537.9161,,,,,,,
4000,train,2.191382284,0.000998445934,0.2622339725,98304000,627.7630696,6.371830701,156594.1113,,,,,,,
4050,train,2.15950551,0.0009983970014,0.2171409428,99532800,635.273509,6.375206809,156677.0825,,,,,,,
4100,train,2.162250285,0.0009983473115,0.2503830492,100761600,643.223233,6.374147869,156651.058,,,,,,,
4150,train,2.1901723,0.0009982968645,0.2448273748,101990400,651.1168492,6.373663967,156639.1657,,,,,,,
4200,train,2.179722519,0.0009982456604,0.2384368181,103219200,658.6073852,6.377092172,156723.4172,,,,,,,
4250,train,2.158176472,0.0009981936993,0.2600000799,104448000,666.2313135,6.379165785,156774.3783,,,,,,,
4300,train,2.172487569,0.0009981409814,0.27178967,105676800,673.912976,6.3806458,156810.7512,,,,,,,
4350,train,2.159847779,0.0009980875066,0.2794338167,106905600,681.5741715,6.382284103,156851.0141,,,,,,,
4400,train,2.156013823,0.0009980332751,0.2716858983,108134400,689.0668125,6.385447565,156928.7594,,,,,,,
4450,train,2.168241477,0.0009979782869,0.2545741498,109363200,696.5295234,6.388817488,157011.5786,,,,,,,
4500,train,2.154116111,0.0009979225422,0.2588156164,110592000,703.9610934,6.392398731,157099.5912,,,,,,,
4550,train,2.164699082,0.000997866041,0.2187704295,111820800,711.4486227,6.395402078,157173.4015,,,,,,,
4600,train,2.138790941,0.0009978087834,0.2453605086,113049600,718.9927077,6.397839575,157233.3054,,,,,,,
4650,train,2.149387963,0.0009977507696,0.2567855716,114278400,726.6728134,6.399028441,157262.523,,,,,,,
4700,train,2.155926933,0.0009976919995,0.2370773256,115507200,734.0815258,6.402558619,157349.2806,,,,,,,
4750,train,2.140012963,0.0009976324733,0.1840945929,116736000,741.5214841,6.405748318,157427.6707,,,,,,,
4800,train,2.131769829,0.000997572191,0.2636590302,117964800,749.0437949,6.408170033,157487.1867,,,,,,,
4850,train,2.129966259,0.0009975111529,0.21656169,119193600,756.5533898,6.410651337,157548.1673,,,,,,,
4900,train,2.133121061,0.0009974493588,0.1819034815,120422400,764.1721754,6.412167516,157585.4289,,,,,,,
4950,train,2.140079682,0.0009973868091,0.196996212,121651200,771.5995708,6.415244626,157661.0519,,,,,,,
