step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
1400,train,2.099215295,0.0003993443357,0.3791835606,45875200,348.3485179,4.018963561,131693.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.084756832,0.0003992303822,0.4369015694,47513600,360.5731502,4.021375411,131772.4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.070836751,0.0003991073226,0.3910955191,49152000,372.8889034,4.022645851,131814.0592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,eval,2.070836751,0.0003991073226,,49152000,372.896452,,,1.984767385,7.277354367,1.988190354,0.4381576544,361322,520380,1.984767385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,2.06340198,0.0003989751626,0.4095948339,50790400,390.3063974,3.971239032,130129.5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.056411371,0.0003988339086,0.4868912995,52428800,405.6321883,3.944460144,129252.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.053686428,0.000398683567,0.3619281352,54067200,424.2723908,3.889011012,127435.1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.055644414,0.0003985241448,0.3644885719,55705600,436.3939953,3.895562309,127649.7857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.036185,0.0003983556495,0.9721938968,57344000,448.5121953,3.901789111,127853.8256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.01945924,0.000398178089,0.3863441944,58982400,460.6238284,3.907743996,128048.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.0194751,0.0003979914716,0.3737226129,60620800,472.7370973,3.913380208,128233.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.016851592,0.0003977958058,0.3641762435,62259200,484.8562088,3.918687573,128407.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,train,2.019653718,0.000397591101,0.3791893423,63897600,496.9760475,3.923730348,128572.7961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,train,2.015228961,0.0003973773665,0.4025498629,65536000,509.0834384,3.92862908,128733.3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,train,2.012302389,0.0003971546125,0.3878630996,67174400,521.2540019,3.932823523,128870.7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,train,1.996808162,0.0003969228492,0.3746417463,68812800,537.7532692,3.90513665,127963.5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,train,1.999998715,0.0003966820875,0.3719336987,70451200,549.8772905,3.909963254,128121.6759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,train,1.984167717,0.0003964323386,0.3599396646,72089600,562.0989566,3.91390159,128250.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,train,1.965816422,0.0003961736142,0.3671012223,73728000,574.3117423,3.917732887,128376.2712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,train,1.971658995,0.0003959059263,0.3558706939,75366400,586.5199249,3.921435406,128497.5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,train,1.981019824,0.0003956292874,0.3357926011,77004800,598.741925,3.924896357,128611.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,train,1.977003429,0.0003953437104,0.334081471,78643200,610.9707928,3.928174683,128718.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,train,1.958287969,0.0003950492087,0.343690753,80281600,623.1849523,3.931417136,128824.6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,train,1.940832844,0.000394745796,0.3012183607,81920000,635.3830266,3.934634536,128930.1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,train,1.970520425,0.0003944334864,0.3211779594,83558400,647.5818396,3.937726237,129031.4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,train,1.948305926,0.0003941122944,0.3640068769,85196800,659.809365,3.940532126,129123.3567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,train,1.974307497,0.0003937822352,0.4168147743,86835200,672.0327995,3.943259915,129212.7409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,train,1.95137507,0.000393443324,0.335996747,88473600,684.2487144,3.94593361,129300.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,train,1.939763765,0.0003930955767,0.327280283,90112000,696.4599538,3.94854002,129385.7594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,train,1.945124793,0.0003927390095,0.3328709006,91750400,708.6539328,3.951152841,129471.3763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,train,1.943452365,0.000392373639,0.3089236021,93388800,720.8641589,3.953588155,129551.1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,train,1.948860567,0.0003919994823,0.3175135553,95027200,733.0807078,3.955908223,129627.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,train,1.920540056,0.0003916165569,0.3067523837,96665600,745.2840576,3.958222331,129703.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,train,1.921971231,0.0003912248805,0.3598987758,98304000,757.4953582,3.960420308,129775.0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,eval,1.921971231,0.0003912248805,,98304000,757.5003989,,,1.832482944,6.249384283,1.83564328,0.475074864,361322,520380,1.832482944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,train,1.945342443,0.0003908244714,0.2853802443,99942400,771.6080544,3.952784037,129524.8273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,train,1.920614064,0.0003904153484,0.2924008369,101580800,783.8435061,3.954871063,129593.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,train,1.903548851,0.0003899975305,0.2861986756,103219200,796.0790336,3.956893558,129659.4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,train,1.913960748,0.0003895710372,0.32182616,104857600,808.3060503,3.958896508,129725.1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,train,1.906958742,0.0003891358884,0.2876743674,106496000,820.5236311,3.960885314,129790.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,train,1.920711503,0.0003886921044,0.4182180166,108134400,832.7527149,3.962761023,129851.7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,train,1.923397527,0.0003882397058,0.3280920386,109772800,844.9837739,3.964573171,129911.1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,train,1.919321649,0.0003877787139,0.3432997763,111411200,857.2140272,3.966337335,129968.9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,train,1.901392767,0.00038730915,0.296646297,113049600,869.4217503,3.968154695,130028.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,train,1.927747185,0.0003868310361,0.2874649465,114688000,881.6317461,3.969911492,130086.0598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,train,1.920962999,0.0003863443946,0.302542299,116326400,893.8521667,3.971573972,130140.5359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,train,1.911277568,0.000385849248,0.3015651703,117964800,906.0786252,3.973165131,130192.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,train,1.897595961,0.0003853456195,0.311113596,119603200,918.3104897,3.974690523,130242.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,train,1.906632857,0.0003848335325,0.316740036,121241600,930.5304141,3.976226831,130293.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,train,1.897796242,0.0003843130111,0.3084951341,122880000,942.7525709,3.977713894,130341.7289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,train,1.910353024,0.0003837840793,0.28940171,124518400,954.9742725,3.97916479,130389.2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850,train,1.881651363,0.000383246762,0.2928061485,126156800,967.2042572,3.980544927,130434.4962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,train,1.895672386,0.0003827010842,0.2914482057,127795200,979.4336302,3.981893086,130478.6726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,train,1.88044389,0.0003821470713,0.2994504869,129433600,991.6351986,3.983319678,130525.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,train,1.90557421,0.0003815847491,0.2978097796,131072000,1003.834357,3.984721156,130571.3429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,train,1.866149552,0.0003810141439,0.3012624085,132710400,1016.079215,3.985909703,130610.2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,train,1.878349335,0.0003804352824,0.2706135511,134348800,1028.307978,3.987132345,130650.3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
