step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,bce,reg_l1,reg_l2,kl,flux,stop,bits_per_step,n_valid,val_nll,val_bpt,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_f1_best,val_frame_best_threshold,val_frame_precision_best,val_frame_recall_best,val_n_frames,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds
850,train,0.1800252175,0.0002981516826,0.08415298909,13926400,93.4200902,9.098685285,149072.8597,0.09083625674,0.05798656866,0.04433001205,0.05915044993,-0.01843737252,0.02566777915,4.1186409,15039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,0.1789849404,0.0002975857489,0.1140103713,14745600,104.5342982,8.60961441,141059.9225,0.08863657713,0.06113818288,0.04610003158,0.07165316492,-0.02015389316,0.03481167182,4.195951462,14080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,0.1787949052,0.0002969450677,0.07187044621,15564800,111.6128411,8.511565429,139453.488,0.09334055334,0.05834549293,0.04461128265,0.08544238657,-0.01854109205,0.03116396628,4.207892895,15404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,0.1720402426,0.0002962299809,0.09375227243,16384000,115.9253848,8.626238352,141332.2892,0.08505251259,0.05067047849,0.03897620365,0.08172199875,-0.01605750807,0.02429621853,3.778580189,14672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,0.1736777753,0.00029544087,0.1899306923,17203200,120.2409284,8.732467504,143072.7476,0.07882579416,0.05291986465,0.0391410999,0.06978512555,-0.01813646592,0.02069438994,3.782526016,15009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,0.178544842,0.0002945781561,0.08889093995,18022400,124.5589514,8.831159767,144689.7216,0.08394137025,0.05499090254,0.0426357761,0.07206980139,-0.01682993025,0.01791370288,3.760540962,14902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,0.1745320141,0.0002936422995,0.1277232915,18841600,128.8780062,8.923167216,146197.1717,0.07074890286,0.04523477331,0.03373452649,0.07458461076,-0.01505793072,0.03161054105,3.293108225,14307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,0.172265476,0.0002926337996,0.2203421742,19660800,133.1838217,9.010103366,147621.5335,0.08273088932,0.04801456258,0.03916996345,0.0607143119,-0.01306095347,0.01143959071,3.400533199,16246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,0.1726909325,0.0002915531945,0.2370867133,20480000,137.4871461,9.091759012,148959.3797,0.08753501624,0.05276337266,0.04271145537,0.07881059498,-0.01444615982,0.01810747199,3.64786315,15307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,0.1793993199,0.0002904010608,0.362713635,21299200,141.8011236,9.167769386,150204.7336,0.07454358786,0.05466218665,0.03842826933,0.07606964558,-0.02057285048,0.02113570087,3.896401882,14610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
